Name,Year,Durasi(Menit),Rating
The Shawshank Redemption,1994,142,R
The Godfather,1972,175,R
The Dark Knight,2008,152,PG-13
The Godfather Part II,1974,202,R
Angry Men,1957,96,Approved
Schindler's List,1993,195,R
The Lord of the Rings: The Return of the King,2003,201,PG-13
Pulp Fiction,1994,154,R
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13
The Good the Bad and the Ugly,1966,178,R
Forrest Gump,1994,142,PG-13
The Lord of the Rings: The Two Towers,2002,179,PG-13
Fight Club,1999,139,R
Inception,2010,148,PG-13
Star Wars: Episode V - The Empire Strikes Back,1980,124,PG
The Matrix,1999,136,R
Goodfellas,1990,145,R
One Flew Over the Cuckoo's Nest,1975,133,R
Se7en,1995,127,R
Interstellar,2014,169,PG-13
It's a Wonderful Life,1946,130,PG
Seven Samurai,1954,207,Not Rated
The Silence of the Lambs,1991,118,R
Saving Private Ryan,1998,169,R
City of God,2002,130,R
Life Is Beautiful,1997,116,PG-13
The Green Mile,1999,189,R
Terminator Judgment Day,1991,137,R
Star Wars: Episode IV - A New Hope,1977,121,PG
Back to the Future,1985,116,PG
Dune: Part Two,2024,166,PG-13
Spirited Away,2001,125,PG
The Pianist,2002,150,R
Parasite,2019,132,R
Psycho,1960,109,R
Gladiator,2000,155,R
Spider-Man: Across the Spider-Verse,2023,140,PG
The Lion King,1994,88,G
The Departed,2006,151,R
Léon: The Professional,1994,110,R
American History X,1998,119,R
Whiplash,2014,106,R
The Prestige,2006,130,PG-13
Grave of the Fireflies,1988,89,Not Rated
Harakiri,1962,133,Not Rated
The Usual Suspects,1995,106,R
Casablanca,1942,102,PG
The Intouchables,2011,112,R
Cinema Paradiso,1988,174,PG
Modern Times,1936,87,G
